key	code	regname	value
1200	6	Басманный район 	1-2
1200	8	Район Замоскворечье 	1
1200	5	Красносельский район 	1-2
1200	4	Мещанский район 	1-2
1200	2	Пресненский район 	1-2
1200	7	Таганский район 	1-2
1200	3	Тверской район 	1-2
1200	1	Район Хамовники 	1-2
1200	10	Район Якиманка 	1
1200	22	Район Аэропорт 	1-2
1200	24	Район Беговой 	1-2
1200	12	Бескудниковский район 	2
1200	20	Войковский район 	1-2
1200	18	Головинский район 	1
1200	11	Район Восточное Дегунино 	1
1200	14	Район Западное Дегунино 	1
1200	13	Дмитровский район 	1
1200	19	Район Коптево 	1-2
1200	17	Район Левобережный 	1
1200	27	Молжаниновский район 	2
1200	25	Савёловский район 	1
1200	21	Район Сокол 	1-2
1200	26	Тимирязевский район 	1
1200	16	Район Ховрино 	1
1200	23	Хорошёвский район 	1-2
1200	42	Алексеевский район 	1
1200	30	Алтуфьевский район 	2
1200	35	Бабушкинский район 	1
1200	29	Район Бибирево 	1
1200	38	Бутырский район 	1
1200	28	Район Лианозово 	1
1200	36	Лосиноостровский район 	1
1200	39	Район Марфино 	1
1200	40	Район Марьина роща 	2
1200	33	Район Северное Медведково 	2
1200	32	Район Южное Медведково 	1
1200	43	Останкинский район 	1-2
1200	31	Район Отрадное 	2
1200	41	Район Ростокино 	1-2
1200	34	Район Свиблово 	1
1200	44	Район Северный 	0-1
1200	37	Ярославский район 	2
1200	54	Район Богородское 	1
1200	49	Район Вешняки 	1-2
1200	61	Район Восточный 	2
1200	56	Район Гольяново 	1-2
1200	47	Район Ивановское 	1-2
1200	59	Район Восточное Измайлово 	1-2
1200	58	Район Измайлово 	1-2
1200	57	Район Северное Измайлово 	1
1200	51	Район Косино-Ухтомский 	2
1200	55	Район Метрогородок 	1
1200	46	Район Новогиреево 	2
1200	50	Район Новокосино 	1-2
1200	45	Район Перово 	1-2
1200	53	Район Преображенское 	1-2
1200	60	Район Соколиная гора 	1-2
1200	52	Район Сокольники 	1-2
1200	68	Район Выхино-Жулебино 	2
1200	62	Район Капотня 	1
1200	67	Район Кузьминки 	2
1200	71	Район Лефортово 	1-2
1200	64	Район Люблино 	1-2
1200	63	Район Марьино 	1-2
1200	74	Район Некрасовка 	1
1200	70	Нижегородский район 	1-2
1200	65	Район Печатники 	1-2
1200	69	Рязанский район 	1-2
1200	66	Район Текстильщики 	1-2
1200	72	Южнопортовый район 	1-2
1200	80	Район Бирюлёво Восточное 	1-2
1200	79	Район Бирюлёво Западное 	1-2
1200	78	Район Братеево 	1
1200	91	Даниловский район 	1
1200	90	Донской район 	1
1200	77	Район Зябликово 	2
1200	82	Район Москворечье-Сабурово 	1
1200	83	Район Нагатино-Садовники 	1
1200	84	Район Нагатинский затон 	1
1200	88	Нагорный район 	1
1200	75	Район Орехово-Борисово Северное 	2
1200	76	Район Орехово-Борисово Южное 	1-2
1200	81	Район Царицыно 	0-1
1200	85	Район Чертаново Северное 	1-2
1200	86	Район Чертаново Центральное 	1-2
1200	87	Район Чертаново Южное 	1
1200	101	Академический район 	1-2
1200	104	Район Северное Бутово 	0
1200	105	Район Южное Бутово 	1-2
1200	98	Гагаринский район 	1-2
1200	99	Район Зюзино	1
1200	96	Район Коньково 	1
1200	102	Район Котловка 	1-2
1200	97	Ломоносовский район 	1-2
1200	103	Обручевский район 	1
1200	95	Район Тёплый Стан 	1
1200	100	Район Черёмушки 	2
1200	94	Район Ясенево 	1-2
1200	122	Район Внуково 	1-2
1200	116	Район Дорогомилово 	1
1200	106	Район Крылатское 	1-2
1200	107	Район Кунцево 	1
1200	108	Можайский район 	1-2
1200	121	Район Ново-Переделкино 	1-2
1200	112	Район Очаково-Матвеевское 	1-2
1200	119	Район Проспект Вернадского 	1
1200	114	Район Раменки 	1-2
1200	120	Район Солнцево 	1-2
1200	113	Район Тропарёво-Никулино 	1
1200	111	Район Филёвский парк 	1
1200	109	Район Фили-Давыдково 	1
1200	130	Район Куркино 	2
1200	129	Район Митино 	2
1200	125	Район Покровское-Стрешнево 	1-2
1200	128	Район Строгино 	1-2
1200	93	Район Северное Тушино 	1-2
1200	92	Район Южное Тушино 	1-2
1200	127	Район Хорошёво-Мневники 	1-2
1200	126	Район Щукино 	2
1200	131	Район Крюково 	1-2
1200	132	Район Матушкино 	1
1200	134	Район Савёлки 	1
1200	135	Район Силино 	1
1200	137	Район Старое Крюково 	1
